"","year","month","UF","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"235",2019,4,"RJ",15434,3948,11486,5911,9523,183,70,113,68,115,15617,4018,11599,5979,9638
"236",2019,4,"RN",3022,977,2045,1190,1832,28,17,11,12,16,3050,994,2056,1202,1848
"237",2019,4,"RO",1878,521,1357,818,1060,13,5,8,5,8,1891,526,1365,823,1068
"238",2019,4,"RR",1040,328,712,537,503,9,3,6,6,3,1049,331,718,543,506
"239",2019,4,"RS",10666,3030,7636,3594,7072,60,26,34,21,39,10726,3056,7670,3615,7111
"240",2019,4,"SC",7795,1778,6017,2656,5139,59,26,33,22,37,7854,1804,6050,2678,5176
"241",2019,4,"SE",2359,854,1505,1001,1358,24,15,9,8,16,2383,869,1514,1009,1374
"242",2019,4,"SP",43653,6619,37034,14372,29281,365,95,270,119,246,44018,6714,37304,14491,29527
"243",2019,4,"TO",1640,376,1264,722,918,13,6,7,4,9,1653,382,1271,726,927
"244",2019,5,"AC",1200,529,671,615,585,6,2,4,2,4,1206,531,675,617,589
"245",2019,5,"AL",3635,1553,2082,1824,1811,27,13,14,11,16,3662,1566,2096,1835,1827
"246",2019,5,"AM",6529,2228,4301,3349,3180,79,28,51,32,47,6608,2256,4352,3381,3227
"247",2019,5,"AP",971,360,611,490,481,21,12,9,11,10,992,372,620,501,491
"248",2019,5,"BA",14477,4411,10066,5731,8746,157,53,104,53,104,14634,4464,10170,5784,8850
"249",2019,5,"CE",9454,2873,6581,3716,5738,98,52,46,35,63,9552,2925,6627,3751,5801
"250",2019,5,"DF",3303,526,2777,982,2321,35,5,30,11,24,3338,531,2807,993,2345
"251",2019,5,"ES",4671,1233,3438,1636,3035,30,18,12,13,17,4701,1251,3450,1649,3052
"252",2019,5,"GO",7999,1584,6415,3125,4874,55,13,42,23,32,8054,1597,6457,3148,4906
"253",2019,5,"MA",7504,2451,5053,3751,3753,99,53,46,41,58,7603,2504,5099,3792,3811
"254",2019,5,"MG",20920,4288,16632,7170,13750,191,57,134,60,131,21111,4345,16766,7230,13881
"255",2019,5,"MS",3583,1088,2495,1480,2103,36,19,17,16,20,3619,1107,2512,1496,2123
"256",2019,5,"MT",4695,894,3801,1936,2759,49,17,32,13,36,4744,911,3833,1949,2795
"257",2019,5,"PA",10027,3904,6123,5184,4843,113,50,63,53,60,10140,3954,6186,5237,4903
"258",2019,5,"PB",4357,1496,2861,1812,2545,41,18,23,19,22,4398,1514,2884,1831,2567
"259",2019,5,"PE",10221,3221,7000,4298,5923,113,57,56,40,73,10334,3278,7056,4338,5996
"260",2019,5,"PI",3315,1030,2285,1458,1857,23,5,18,8,15,3338,1035,2303,1466,1872
"261",2019,5,"PR",12859,2886,9973,4499,8360,93,17,76,36,57,12952,2903,10049,4535,8417
"262",2019,5,"RJ",17166,4355,12811,6604,10562,196,77,119,85,111,17362,4432,12930,6689,10673
